Label,+ACM- Samples,Average,RT+AF8-Request hits,Avaerage+AF8-RT,Median,90+ACU- Line,95+ACU- Line,99+ACU- Line,Min,Max,Error +ACU-,Throughput,Received KB/sec,Sent KB/sec
ManageOrderShipment+AF8-V1+AF8-0+AF8-createShipment,310,1974,298,1153,1307,2036,3337,23317,1268,31967,0.323+ACU-,0.04345,0.03,0.13
WirelineManagement+AF8-V1+AF8-0+AF8-orderFulfillment,304,6229,296,7601,5303,6893,9342,23142,4007,33552,0.329+ACU-,0.04256,0.01,0.06
SMSPermissionsMgmt+AF8-V1+AF8-0+AF8-getKeywordPermissions,309,9238,299,10241,5188,16319,22746,70620,4607,144426,0.000+ACU-,0.04324,0.03,0.01
PartyInteractionManagement+AF8-V1+AF8-0+AF8-reOpenCustomerProblem,310,2482,,,909,4327,6601,23395,794,61373,0.000+ACU-,0.04344,0.07,0.02
ManagePrepaidCard+AF8-V1+AF8-0+AF8-validateCard,295,5649,284,4661,4154,5147,9293,25370,4130,142482,0.339+ACU-,0.04133,0.04,0.01
O2IE+AF8-ManageBillDetails+AF8-1+AF8-0+AF8-getUnbilledAmount+AF8-1,197,1497,,,509,1527,5488,18122,464,53885,0.000+ACU-,0.02764,0.03,0.03
O2IE+AF8-ManageBillDetails+AF8-1+AF8-0+AF8-getBillDetails+AF8-1,194,2778,,,1227,2194,4533,24931,1154,134418,0.515+ACU-,0.02721,0.05,0.02
AccountManagement+AF8-V1+AF8-0+AF8-createAccount,315,8909,303,9190,6818,12198,18999,30491,4006,134356,0.635+ACU-,0.04406,0.06,0.12
CustomerBillManagement+AF8-V1+AF8-0.customerBill,194,2729,,,1174,2243,6299,24490,669,134259,0.515+ACU-,0.0272,0.02,0.01
O2IE+AF8-ManageBillDetails+AF8-1+AF8-0+AF8-getAllowanceUsageInfo+AF8-1,198,1177,,,243,1227,2601,17787,204,54871,0.505+ACU-,0.02778,0.07,0.02
BillingManagement+AF8-V1+AF8-0+AF8-billingAccount,198,1086,,,675,1350,2905,9733,650,17173,0.000+ACU-,0.02777,0.01,0.06
ProductOfferingQualification+AF8-V1+AF8-0+AF8-checkProductOfferingQualification,190,4269,,,3251,4717,6735,28384,3185,38055,0.526+ACU-,0.02664,0.01,0.02
